GB-GOR,UK Government organisation name,Website,Status,CO2 emissions (g),Website carbon link,Date last checked
OT1309,Disability Unit,https://gov.uk/government/organisations/disability-unit,,0.51,,2021-12-23
PB1152,Disabled People’s Employment Corporation (GB) Ltd,https://gov.uk/government/organisations/disabled-peoples-employment-corporation,,0.13,,2021-12-23
PB247,Disabled Persons Transport Advisory Committee,https://gov.uk/government/organisations/disabled-persons-transport-advisory-committee,,0.21,,2021-12-23
PB509,Disclosure and Barring Service,https://gov.uk/government/organisations/disclosure-and-barring-service,,1.09,,2021-12-23
OT1080,District Valuer Services (DVS),https://gov.uk/government/organisations/district-valuer-services-dvs,,0.14,,2021-12-23
OT1238,Dounreay ,https://gov.uk/government/organisations/dounreay,,0.89,,2021-12-23
OT425,Drinking Water Inspectorate,http://www.dwi.gov.uk,,0.34,,2021-12-23
EA74,Driver and Vehicle Licensing Agency,https://gov.uk/government/organisations/driver-and-vehicle-licensing-agency,,0.48,,2021-12-23
EA570,Driver and Vehicle Standards Agency,https://gov.uk/government/organisations/driver-and-vehicle-standards-agency,,2.05,,2021-12-23
OT1233,East West Railway Company Limited,https://eastwestrail.co.uk/,,4.90,,2021-12-23
PB1154,Ebbsfleet Development Corporation,http://ebbsfleetdc.org.uk/,,4.63,,2021-12-23
PB129,Economic and Social Research Council,http://www.esrc.ac.uk/,,1.57,,2021-12-23
EO1216,Education and Skills Funding Agency,https://gov.uk/government/organisations/education-and-skills-funding-agency,,0.70,,2021-12-23
OT1267,Employment Agency Standards Inspectorate,https://gov.uk/government/organisations/employment-agency-standards-inspectorate,,0.40,,2021-12-24
PB131,Engineering Construction Industry Training Board,http://www.ecitb.org.uk/,,1.10,,2021-12-24
PB130,Engineering and Physical Sciences Research Council,http://www.epsrc.ac.uk/,,1.22,,2021-12-24
OT957,English Institute of Sport,http://www.eis2win.co.uk/,,0.79,,2021-12-24
EA199,Environment Agency,https://gov.uk/government/organisations/environment-agency,,0.80,,2021-12-24
OT1324,Equality Hub,https://gov.uk/government/organisations/the-equality-hub,,0.59,,2021-12-24
OT269,Equality and Human Rights Commission,http://www.equalityhumanrights.com/,,0.82,,2021-12-24
DA1105,Estyn,http://www.estyn.gov.uk/,,3.53,,2021-12-24
OT219,Exmoor National Park Authority,http://www.exmoor-nationalpark.gov.uk/,,2.58,,2021-12-24
OT557,Export Control Joint Unit,https://gov.uk/government/organisations/export-control-organisation,,0.25,,2021-12-24
PB357,Export Guarantees Advisory Council,https://gov.uk/government/organisations/export-guarantees-advisory-council,,0.19,,2021-12-24
OT1316,FCDO Services ,https://www.fcdoservices.gov.uk,,1.03,,2021-12-24
PB441,Family Justice Council,http://www.judiciary.gov.uk/about-the-judiciary/advisory-bodies/fjc,,0.30,,2021-12-24
PB442,Family Procedure Rule Committee,https://gov.uk/government/organisations/family-procedure-rule-committee,,0.14,,2021-12-24
OT1085,Financial Conduct Authority,https://www.fca.org.uk/,,0.18,,2021-12-24
OT1260,Financial Reporting Council,https://www.frc.org.uk/,,0.47,,2021-12-24
EA37,Fire Service College,http://www.fireservicecollege.ac.uk/,,2.93,,2021-12-24
PB311,Fleet Air Arm Museum ,http://www.fleetairarm.com/,,1.03,,2021-12-24
PB1335,Flood Forecasting Centre,https://gov.uk/government/organisations/flood-forecasting-centre,,1.28,,2021-12-24
OT1320,Flood and Coastal Erosion Risk Management Research and Development Programme,https://gov.uk/government/organisations/flood-and-coastal-erosion-risk-management-research-and-development-programme,,0.56,,2021-12-24
D102,Food Standards Agency,http://www.food.gov.uk/,,0.84,,2021-12-24
D1315,"Foreign, Commonwealth &amp; Development Office",https://gov.uk/government/organisations/foreign-commonwealth-development-office,,2.35,,2021-12-24
OT536,Forensic Science Regulator,https://gov.uk/government/organisations/forensic-science-regulator,,0.86,,2021-12-24
EA54,Forest Research,https://www.forestresearch.gov.uk,,0.39,,2021-12-24
D85,Forestry Commission,https://gov.uk/government/organisations/forestry-commission,,1.10,,2021-12-24
EA55,Forestry England,https://www.forestryengland.uk,,0.67,,2021-12-24
OT1273,Further Education Commissioner,https://gov.uk/government/organisations/further-education-commissioner,,0.14,,2021-12-24
PB169,Gambling Commission,http://www.gamblingcommission.gov.uk/,,0.72,,2021-12-24
PB1234,Gangmasters and Labour Abuse Authority,http://www.gla.gov.uk/,,2.37,,2021-12-24
PB170,Geffrye Museum,http://www.geffrye-museum.org.uk/,,3.56,,2021-12-24
OT1271,Geospatial Commission,https://gov.uk/government/organisations/geospatial-commission,,1.19,,2021-12-24
OT1307,Gov Facility Services Limited,https://gov.uk/government/organisations/gov-facility-services-limited,,0.92,,2021-12-24
D103,Government Actuary's Department,https://gov.uk/government/organisations/government-actuarys-department,,0.78,,2021-12-24
OT1302,Government Analysis Function,https://gov.uk/government/organisations/government-analysis-function,,0.64,,2021-12-24
OT1061,Government Chemist,https://gov.uk/government/organisations/government-chemist,,0.50,,2021-12-24
OT1116,Government Commercial Function,https://gov.uk/government/organisations/government-commercial-function,,0.45,,2021-12-24
OT1034,Government Communication Service,https://gov.uk/government/organisations/civil-service-government-communication-service,,0.23,,2021-12-24
OT306,Government Communications Headquarters,http://www.gchq.gov.uk/,,0.74,,2021-12-24
OT1050,Government Corporate Finance Profession,https://gov.uk/government/organisations/civil-service-corporate-finance-profession-cfp,,0.13,,2021-12-24
OT1317,Government Data Quality Hub,https://gov.uk/government/organisations/government-data-quality-hub,,0.52,,2021-12-24
OT1056,Government Digital Service,https://gov.uk/government/organisations/government-digital-service,,0.66,,2021-12-24
OT1037,Government Economic Service,https://gov.uk/government/organisations/civil-service-government-economic-service,,0.77,,2021-12-24
OT506,Government Equalities Office,https://gov.uk/government/organisations/government-equalities-office,,0.75,,2021-12-24
OT549,Government Estates Management,https://gov.uk/government/organisations/government-estates-management,,0.13,,2021-12-24
OT1297,Government Finance Function,https://gov.uk/government/organisations/government-finance-function,,0.42,,2021-12-24
OT1306,Government Geography Profession,https://gov.uk/government/organisations/government-geography-profession,,0.68,,2021-12-24
EA1084,Government Internal Audit Agency,https://gov.uk/government/organisations/government-internal-audit-agency,,0.85,,2021-12-24
OT1048,Government Knowledge &amp; Information Management Profession,https://gov.uk/government/organisations/civil-service-government-knowledge-information-management-profession,,0.13,,2021-12-24
D1108,Government Legal Department,https://gov.uk/government/organisations/government-legal-department,,0.65,,2021-12-24
OT1261,Government Legal Profession,https://gov.uk/government/organisations/civil-service-government-legal-profession,,0.42,,2021-12-24
OT1049,Government Occupational Psychology Profession ,https://gov.uk/government/organisations/civil-service-government-occupational-psychology-profession,,0.13,,2021-12-24
OT555,Government Office for Science,https://gov.uk/government/organisations/government-office-for-science,,0.43,,2021-12-24
OT1042,Government Operational Research Service,https://gov.uk/government/organisations/civil-service-government-operational-research-service,,0.13,,2021-12-24
OT1272,Government Partnerships International,https://gov.uk/government/organisations/government-partnerships-international,,0.13,,2021-12-24
OT1045,Government Planning Inspectors,https://gov.uk/government/organisations/civil-service-government-planning-inspectors,,0.13,,2021-12-24
OT1044,Government Planning Profession,https://gov.uk/government/organisations/civil-service-the-government-planning-profession,,0.13,,2021-12-24
EA1255,Government Property Agency,https://gov.uk/government/organisations/government-property-agency,,0.41,,2021-12-24
OT1310,Government Property Function,https://gov.uk/government/organisations/government-property-function,,0.50,,2021-12-24
OT1305,Government Recruitment Service,https://gov.uk/government/organisations/government-recruitment-service,,0.26,,2021-12-24
OT1040,Government Science &amp; Engineering Profession,https://gov.uk/government/organisations/civil-service-government-science-engineering,,0.44,,2021-12-24
OT1070,Government Security Profession,https://gov.uk/government/organisations/government-security-profession,,0.13,,2021-12-24
OT1321,Government Skills and Curriculum Unit,https://gov.uk/government/organisations/government-skills-and-curriculum-unit,,0.48,,2021-12-24
OT1043,Government Social Research Profession,https://gov.uk/government/organisations/civil-service-government-social-research-profession,,0.40,,2021-12-24
OT1041,Government Statistical Service,https://gss.civilservice.gov.uk/,,0.71,,2021-12-24
OT1046,Government Tax Profession,https://gov.uk/government/organisations/civil-service-government-tax-profession,,0.13,,2021-12-24
OT1047,Government Veterinary Services ,https://gov.uk/government/organisations/civil-service-government-veterinary-services,,0.36,,2021-12-24
PB426,Great Britain-China Centre,http://www.gbcc.org.uk/,,0.23,,2021-12-24
OT551,Groceries Code Adjudicator,https://gov.uk/government/organisations/groceries-code-adjudicator,,0.31,,2021-12-24
EA73,HM Courts &amp; Tribunals Service,https://gov.uk/government/organisations/hm-courts-and-tribunals-service,,0.66,,2021-12-24
OT347,HM Crown Prosecution Service Inspectorate,http://www.justiceinspectorates.gov.uk/hmcpsi/,,0.37,,2021-12-24
OT1241,HM Inspectorate of Constabulary and Fire &amp; Rescue Services,https://www.justiceinspectorates.gov.uk/hmicfrs/,,0.39,,2021-12-24
IM324,HM Inspectorate of Prisons,http://www.justice.gov.uk/about/hmi-prisons,,0.65,,2021-12-24
IM325,HM Inspectorate of Probation,http://www.justice.gov.uk/about/hmi-probation,,2.01,,2021-12-24
D69,HM Land Registry,https://gov.uk/government/organisations/land-registry,,0.94,,2021-12-24
OT1023,HM Nautical Almanac Office,https://gov.uk/government/organisations/hm-nautical-almanac-office,,0.17,,2021-12-24
EA66,HM Passport Office,https://gov.uk/government/organisations/hm-passport-office,,0.46,,2021-12-24
EA321,HM Prison Service,https://gov.uk/government/organisations/hm-prison-service,,0.41,,2021-12-24
D25,HM Revenue &amp; Customs,https://gov.uk/government/organisations/hm-revenue-customs,,1.21,,2021-12-24
D15,HM Treasury,https://gov.uk/government/organisations/hm-treasury,,1.62,,2021-12-24
PB1279,HSC Business Services Organisation (Northern Ireland),http://www.hscbusiness.hscni.net/,,0.38,,2021-12-24
OT539,Health Education England,http://hee.nhs.uk/,,0.85,,2021-12-24
OT483,Health Research Authority,http://www.hra.nhs.uk/,,0.59,,2021-12-24
PB207,Health and Safety Executive,http://www.hse.gov.uk/,,0.44,,2021-12-24
OT559,Healthcare UK,https://gov.uk/government/organisations/healthcare-uk,,0.14,,2021-12-24
OT1209,Her Majesty's Government Communications Centre,http://www.hmgcc.gov.uk/,,2.67,,2021-12-24
EA1213,Her Majesty’s Prison and Probation Service,https://gov.uk/government/organisations/her-majestys-prison-and-probation-service,,0.77,,2021-12-24
PB460,High Speed Two (HS2) Limited,https://gov.uk/government/organisations/high-speed-two-limited,,0.91,,2021-12-24
OT1088,Higher Education Statistics Agency,https://www.hesa.ac.uk/,,0.67,,2021-12-24
EA1114,Highways England,https://gov.uk/government/organisations/highways-england,,0.15,,2021-12-24
PB1164,Historic England,http://www.historicengland.org.uk/,,0.87,,2021-12-24
PC389,Historic Royal Palaces,http://www.hrp.org.uk,,0.74,,2021-12-24
D16,Home Office,https://gov.uk/government/organisations/home-office,,1.81,,2021-12-24
PB1232,Homes England,https://gov.uk/government/organisations/homes-england,,1.18,,2021-12-24
PB171,Horniman Public Museum and Public Park Trust,http://www.horniman.ac.uk/,,4.17,,2021-12-24
PB118,Horserace Betting Levy Board,http://www.hblb.org.uk/,,0.36,,2021-12-24
IM341,House of Lords Appointments Commission,http://lordsappointments.independent.gov.uk/,,1.06,,2021-12-24
PB372,Housing Ombudsman,http://www.housing-ombudsman.org.uk/,,0.85,,2021-12-24
PB253,Human Fertilisation and Embryology Authority,http://www.hfea.gov.uk/,,0.28,,2021-12-24
PB254,Human Tissue Authority,http://www.hta.gov.uk/,,0.68,,2021-12-24
OT1069,Immigration Enforcement,https://gov.uk/government/organisations/immigration-enforcement,,0.15,,2021-12-24
PB172,Imperial War Museum,http://www.iwm.org.uk/,,1.25,,2021-12-24
PB443,Independent Advisory Panel on Deaths in Custody,http://www.iapondeathsincustody.org/,,1.21,,2021-12-24
PB210,Independent Agricultural Appeals Panel,https://gov.uk/government/organisations/independent-agricultural-appeals-panel,,0.13,,2021-12-24
IM1123,Independent Anti-slavery Commissioner,http://www.antislaverycommissioner.co.uk/,,0.67,,2021-12-24
